mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.42857142857142855,	0.09933774834437085,	0.16129032258064516,	0.23595505617977527,	0.13125,	0.16867469879518074,	0.15384615384615385,	0.018691588785046728,	0.03333333333333333,	0,	0.0,	0,	0.2773722627737226,	0.08172043010752689,	0.12624584717607976,	[False, True, False, False, False, False, True, False]
0.14444444444444443,	0.08609271523178808,	0.10788381742738588,	0.20212765957446807,	0.11875,	0.1496062992125984,	0.15789473684210525,	0.028037383177570093,	0.04761904761904762,	0,	0.0,	0,	0.1724137931034483,	0.07526881720430108,	0.10479041916167665,	[True, True, False, False, False, False, True, False]
0.1935483870967742,	0.039735099337748346,	0.06593406593406594,	0.1885245901639344,	0.14375,	0.1631205673758865,	0.0,	0.0,	0,	0,	0.0,	0,	0.1870967741935484,	0.06236559139784946,	0.0935483870967742,	[False, False, True, False, False, False, True, False]
0.09375,	0.019867549668874173,	0.03278688524590164,	0.2032520325203252,	0.15625,	0.17667844522968196,	0.1388888888888889,	0.04672897196261682,	0.06993006993006992,	0.0,	0.0,	0,	0.1683673469387755,	0.07096774193548387,	0.09984871406959153,	[True, False, True, False, False, False, True, False]
0.18518518518518517,	0.06622516556291391,	0.0975609756097561,	0.1907514450867052,	0.20625,	0.19819819819819817,	0.32,	0.07476635514018691,	0.1212121212121212,	0.0,	0.0,	0,	0.19921875,	0.10967741935483871,	0.14147018030513175,	[False, True, True, False, False, False, True, False]
0.18867924528301888,	0.06622516556291391,	0.09803921568627452,	0.19230769230769232,	0.1875,	0.18987341772151903,	0.3076923076923077,	0.037383177570093455,	0.06666666666666667,	0,	0.0,	0,	0.1981981981981982,	0.09462365591397849,	0.12809315866084423,	[True, True, True, False, False, False, True, False]
0.2923076923076923,	0.5033112582781457,	0.3698296836982969,	0.27876106194690264,	0.39375,	0.32642487046632124,	0.2824427480916031,	0.34579439252336447,	0.31092436974789917,	0.4090909090909091,	0.19148936170212766,	0.2608695652173913,	0.2895148669796557,	0.3978494623655914,	0.3351449275362319,	[False, False, False, True, False, False, True, False]
0.2826086956521739,	0.4304635761589404,	0.34120734908136485,	0.2825112107623318,	0.39375,	0.3289817232375979,	0.34210526315789475,	0.3644859813084112,	0.35294117647058826,	0.36,	0.19148936170212766,	0.24999999999999994,	0.2972972972972973,	0.37849462365591396,	0.33301797540208133,	[True, False, False, True, False, False, True, False]
0.34705882352941175,	0.39072847682119205,	0.367601246105919,	0.37158469945355194,	0.425,	0.3965014577259475,	0.36538461538461536,	0.35514018691588783,	0.36018957345971564,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.3642105263157895,	0.3720430107526882,	0.3680851063829787,	[False, True, False, True, False, False, True, False]
0.327683615819209,	0.3841059602649007,	0.35365853658536583,	0.4046242774566474,	0.4375,	0.42042042042042044,	0.3333333333333333,	0.32710280373831774,	0.330188679245283,	0.4666666666666667,	0.14893617021276595,	0.22580645161290325,	0.3617021276595745,	0.3655913978494624,	0.36363636363636365,	[True, True, False, True, False, False, True, False]
0.3269230769230769,	0.33774834437086093,	0.33224755700325737,	0.3924050632911392,	0.3875,	0.38993710691823896,	0.25842696629213485,	0.21495327102803738,	0.23469387755102042,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.34772182254196643,	0.3118279569892473,	0.32879818594104304,	[False, False, True, True, False, False, True, False]
0.3018867924528302,	0.31788079470198677,	0.3096774193548387,	0.42948717948717946,	0.41875,	0.4240506329113924,	0.27710843373493976,	0.21495327102803738,	0.2421052631578947,	0.47058823529411764,	0.1702127659574468,	0.25,	0.35180722891566263,	0.3139784946236559,	0.3318181818181818,	[True, False, True, True, False, False, True, False]
0.34782608695652173,	0.31788079470198677,	0.33217993079584773,	0.40476190476190477,	0.425,	0.41463414634146345,	0.2987012987012987,	0.21495327102803738,	0.25,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.3721518987341772,	0.3161290322580645,	0.34186046511627904,	[False, True, True, True, False, False, True, False]
0.323943661971831,	0.304635761589404,	0.31399317406143346,	0.3973509933774834,	0.375,	0.38585209003215426,	0.24271844660194175,	0.2336448598130841,	0.23809523809523805,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.33985330073349634,	0.2989247311827957,	0.3180778032036613,	[True, True, True, True, False, False, True, False]
0.2696629213483146,	0.15894039735099338,	0.2,	0.24812030075187969,	0.20625,	0.22525597269624573,	0.16666666666666666,	0.009345794392523364,	0.017699115044247784,	0.0,	0.0,	0,	0.24892703862660945,	0.12473118279569892,	0.166189111747851,	[False, False, False, False, True, False, True, False]
0.36363636363636365,	0.052980132450331126,	0.09248554913294797,	0.23376623376623376,	0.225,	0.22929936305732482,	0.25,	0.04672897196261682,	0.07874015748031496,	0,	0.0,	0,	0.25,	0.1053763440860215,	0.14826021180030258,	[True, False, False, False, True, False, True, False]
0.35714285714285715,	0.1986754966887417,	0.2553191489361702,	0.2857142857142857,	0.2875,	0.2866043613707165,	0.3181818181818182,	0.06542056074766354,	0.10852713178294572,	0.0,	0.0,	0,	0.304029304029304,	0.17849462365591398,	0.2249322493224932,	[False, True, False, False, True, False, True, False]
0.32432432432432434,	0.15894039735099338,	0.21333333333333335,	0.23972602739726026,	0.21875,	0.22875816993464052,	0.2571428571428571,	0.08411214953271028,	0.12676056338028166,	0,	0.0,	0,	0.26666666666666666,	0.14623655913978495,	0.18888888888888888,	[True, True, False, False, True, False, True, False]
0.26506024096385544,	0.1456953642384106,	0.188034188034188,	0.18660287081339713,	0.24375,	0.21138211382113822,	0.19047619047619047,	0.07476635514018691,	0.10738255033557045,	0.0,	0.0,	0,	0.20414201183431951,	0.14838709677419354,	0.1718555417185554,	[False, False, True, False, True, False, True, False]
0.18461538461538463,	0.07947019867549669,	0.11111111111111112,	0.1829787234042553,	0.26875,	0.21772151898734177,	0.2692307692307692,	0.06542056074766354,	0.10526315789473682,	0.0,	0.0,	0,	0.18960244648318042,	0.13333333333333333,	0.15656565656565655,	[True, False, True, False, True, False, True, False]
0.3111111111111111,	0.18543046357615894,	0.23236514522821577,	0.20588235294117646,	0.2625,	0.23076923076923078,	0.1282051282051282,	0.04672897196261682,	0.0684931506849315,	0.0,	0.0,	0,	0.22321428571428573,	0.16129032258064516,	0.18726591760299627,	[False, True, True, False, True, False, True, False]
0.32222222222222224,	0.19205298013245034,	0.24066390041493774,	0.21428571428571427,	0.28125,	0.2432432432432432,	0.09090909090909091,	0.028037383177570093,	0.04285714285714286,	0.0,	0.0,	0,	0.2298507462686567,	0.16559139784946236,	0.1925,	[True, True, True, False, True, False, True, False]
0.3282442748091603,	0.2847682119205298,	0.3049645390070922,	0.47572815533980584,	0.30625,	0.3726235741444867,	0.4084507042253521,	0.27102803738317754,	0.32584269662921345,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.4056603773584906,	0.27741935483870966,	0.32950191570881227,	[False, False, False, True, True, False, True, False]
0.3333333333333333,	0.33112582781456956,	0.33222591362126247,	0.42857142857142855,	0.375,	0.39999999999999997,	0.3181818181818182,	0.19626168224299065,	0.24277456647398846,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.37669376693766937,	0.2989247311827957,	0.3333333333333333,	[True, False, False, True, True, False, True, False]
0.3629032258064516,	0.2980132450331126,	0.32727272727272727,	0.47692307692307695,	0.3875,	0.4275862068965517,	0.3411764705882353,	0.27102803738317754,	0.3020833333333333,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.4090909090909091,	0.3096774193548387,	0.35250917992656067,	[False, True, False, True, True, False, True, False]
0.3888888888888889,	0.3708609271523179,	0.3796610169491525,	0.436241610738255,	0.40625,	0.42071197411003236,	0.2976190476190476,	0.2336448598130841,	0.26178010471204194,	0.875,	0.14893617021276595,	0.25454545454545446,	0.3974025974025974,	0.32903225806451614,	0.36,	[True, True, False, True, True, False, True, False]
