mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.5197368421052632,	0.5231788079470199,	0.5214521452145215,	0.39591836734693875,	0.60625,	0.4790123456790123,	0.32558139534883723,	0.3925233644859813,	0.35593220338983056,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.41929499072356213,	0.4860215053763441,	0.450199203187251,	[False, True, True, True, False, True, False, False, True, False, True, True, False]
0.5306122448979592,	0.5165562913907285,	0.523489932885906,	0.3958333333333333,	0.59375,	0.47500000000000003,	0.32061068702290074,	0.3925233644859813,	0.3529411764705882,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.4207547169811321,	0.47956989247311826,	0.4482412060301508,	[True, True, True, True, False, True, False, False, True, False, True, True, False]
0.3582089552238806,	0.31788079470198677,	0.3368421052631579,	0.27586206896551724,	0.5,	0.35555555555555557,	0.27927927927927926,	0.2897196261682243,	0.2844036697247706,	0.0,	0.0,	0,	0.29014598540145986,	0.3419354838709677,	0.313919052319842,	[False, False, False, False, True, True, False, False, True, False, True, True, False]
0.359375,	0.304635761589404,	0.32974910394265233,	0.2775800711743772,	0.4875,	0.35374149659863946,	0.25252525252525254,	0.2336448598130841,	0.24271844660194178,	0.0,	0.0,	0,	0.291015625,	0.3204301075268817,	0.30501535312180145,	[True, False, False, False, True, True, False, False, True, False, True, True, False]
0.46060606060606063,	0.5033112582781457,	0.4810126582278481,	0.33201581027667987,	0.525,	0.4067796610169492,	0.312,	0.3644859813084112,	0.33620689655172414,	0.0,	0.0,	0,	0.3559928443649374,	0.42795698924731185,	0.388671875,	[False, True, False, False, True, True, False, False, True, False, True, True, False]
0.4303030303030303,	0.47019867549668876,	0.44936708860759494,	0.31297709923664124,	0.5125,	0.3886255924170616,	0.2982456140350877,	0.3177570093457944,	0.30769230769230765,	0.0,	0.0,	0,	0.33512544802867383,	0.4021505376344086,	0.36559139784946243,	[True, True, False, False, True, True, False, False, True, False, True, True, False]
0.37719298245614036,	0.2847682119205298,	0.3245283018867925,	0.2976190476190476,	0.46875,	0.3640776699029126,	0.3106060606060606,	0.38317757009345793,	0.34309623430962344,	0.0,	0.0,	0,	0.30994152046783624,	0.3419354838709677,	0.3251533742331288,	[False, False, True, False, True, True, False, False, True, False, True, True, False]
0.3826086956521739,	0.2913907284768212,	0.3308270676691729,	0.3008130081300813,	0.4625,	0.36453201970443355,	0.31297709923664124,	0.38317757009345793,	0.3445378151260504,	0.0,	0.0,	0,	0.3142292490118577,	0.3419354838709677,	0.3274974253347065,	[True, False, True, False, True, True, False, False, True, False, True, True, False]
0.49333333333333335,	0.4900662251655629,	0.4916943521594685,	0.31343283582089554,	0.525,	0.39252336448598135,	0.3225806451612903,	0.37383177570093457,	0.3463203463203463,	0.1,	0.0425531914893617,	0.05970149253731343,	0.35587188612099646,	0.43010752688172044,	0.3894839337877313,	[False, True, True, False, True, True, False, False, True, False, True, True, False]
0.4899328859060403,	0.48344370860927155,	0.48666666666666664,	0.30855018587360594,	0.51875,	0.38694638694638694,	0.31007751937984496,	0.37383177570093457,	0.3389830508474576,	0.10526315789473684,	0.0425531914893617,	0.06060606060606061,	0.3498233215547703,	0.4258064516129032,	0.3840931134820562,	[True, True, True, False, True, True, False, False, True, False, True, True, False]
0.35542168674698793,	0.39072847682119205,	0.3722397476340694,	0.42045454545454547,	0.4625,	0.44047619047619047,	0.3709677419354839,	0.42990654205607476,	0.3982683982683983,	1.0,	0.14893617021276595,	0.25925925925925924,	0.39323467230443976,	0.4,	0.39658848614072495,	[False, False, False, True, True, True, False, False, True, False, True, True, False]
0.3558282208588957,	0.3841059602649007,	0.3694267515923567,	0.41361256544502617,	0.49375,	0.4501424501424502,	0.38095238095238093,	0.4485981308411215,	0.41201716738197425,	0.875,	0.14893617021276595,	0.25454545454545446,	0.39344262295081966,	0.4129032258064516,	0.40293809024134314,	[True, False, False, True, True, True, False, False, True, False, True, True, False]
0.4117647058823529,	0.46357615894039733,	0.43613707165109034,	0.42028985507246375,	0.54375,	0.4741144414168937,	0.38405797101449274,	0.4953271028037383,	0.43265306122448977,	0.7777777777777778,	0.14893617021276595,	0.25,	0.41412213740458015,	0.4666666666666667,	0.43882709807886755,	[False, True, False, True, True, True, False, False, True, False, True, True, False]
0.3988439306358382,	0.45695364238410596,	0.425925925925926,	0.40540540540540543,	0.5625,	0.47120418848167533,	0.37037037037037035,	0.4672897196261682,	0.4132231404958678,	1.0,	0.14893617021276595,	0.25925925925925924,	0.4022346368715084,	0.4645161290322581,	0.4311377245508982,	[True, True, False, True, True, True, False, False, True, False, True, True, False]
0.37735849056603776,	0.3973509933774834,	0.38709677419354843,	0.39712918660287083,	0.51875,	0.4498644986449865,	0.35714285714285715,	0.4205607476635514,	0.38626609442060084,	0.7,	0.14893617021276595,	0.24561403508771928,	0.3869047619047619,	0.41935483870967744,	0.40247678018575855,	[False, False, True, True, True, True, False, False, True, False, True, True, False]
